STT,MSSV,Ten,Ho,Gioi tinh,Ngay sinh,ID
1,22120001,An,Bui Duy,Nam,01/01/2004,12343211
2,22120022,Bao,Le,Nam,26/12/2004,12345678
3,22120054,Dat,Le Van Thanh,Nam,14/04/2004,283593255
4,22120173,Kiet,Nguyen Tuan,Nam,14/02/2004,0394958554
